Class,Man,Blackboard,Goofy,Camera,Binoculars,Compact,Grandnieces,Parenthesis,Jackpot,Gigantic
Man,0.375,0.21,0.007,0.045,0.045,0.101,0.037,0.03,0.075,0.075
Blackboard,0.204,0.35,0.035,0.04,0.0,0.013,0.049,0.009,0.088,0.212
Goofy,0.066,0.063,0.199,0.026,0.148,0.096,0.077,0.111,0.044,0.17
Camera,0.192,0.075,0.068,0.181,0.019,0.053,0.079,0.136,0.072,0.125
Binoculars,0.03,0.009,0.083,0.009,0.304,0.178,0.004,0.061,0.222,0.1
Compact,0.218,0.078,0.041,0.037,0.037,0.35,0.062,0.082,0.025,0.07
Grandnieces,0.05,0.115,0.131,0.05,0.046,0.115,0.154,0.173,0.046,0.119
Parenthesis,0.066,0.008,0.074,0.098,0.016,0.16,0.102,0.275,0.033,0.168
Jackpot,0.086,0.137,0.078,0.012,0.105,0.039,0.016,0.051,0.441,0.035
Gigantic,0.038,0.063,0.042,0.038,0.067,0.008,0.038,0.046,0.034,0.626
