Class,Man,Blackboard,Goofy,Camera,Binoculars,Compact,Grandnieces,Parenthesis,Jackpot,Gigantic
Man,0.498,0.071,0.052,0.109,0.034,0.052,0.037,0.056,0.056,0.034
Blackboard,0.075,0.504,0.018,0.08,0.04,0.053,0.049,0.031,0.084,0.066
Goofy,0.055,0.041,0.465,0.026,0.033,0.085,0.114,0.03,0.085,0.066
Camera,0.064,0.102,0.072,0.396,0.049,0.068,0.094,0.057,0.045,0.053
Binoculars,0.057,0.017,0.039,0.026,0.587,0.061,0.039,0.022,0.07,0.083
Compact,0.049,0.053,0.082,0.066,0.058,0.523,0.049,0.045,0.037,0.037
Grandnieces,0.042,0.046,0.081,0.054,0.023,0.054,0.438,0.169,0.035,0.058
Parenthesis,0.037,0.033,0.045,0.094,0.025,0.066,0.107,0.496,0.025,0.074
Jackpot,0.055,0.047,0.098,0.051,0.098,0.035,0.047,0.023,0.52,0.027
Gigantic,0.034,0.105,0.059,0.076,0.059,0.008,0.092,0.071,0.017,0.479
