Class,Man,Blackboard,Goofy,Camera,Binoculars,Compact,Grandnieces,Parenthesis,Jackpot,Gigantic
Man,0.663,0.052,0.03,0.041,0.015,0.052,0.041,0.045,0.034,0.026
Blackboard,0.106,0.637,0.018,0.035,0.04,0.013,0.035,0.009,0.058,0.049
Goofy,0.048,0.037,0.546,0.044,0.044,0.085,0.07,0.03,0.052,0.044
Camera,0.079,0.064,0.068,0.483,0.019,0.106,0.068,0.03,0.045,0.038
Binoculars,0.022,0.043,0.026,0.03,0.683,0.035,0.013,0.026,0.057,0.065
Compact,0.041,0.058,0.062,0.033,0.07,0.609,0.033,0.082,0.004,0.008
Grandnieces,0.062,0.035,0.112,0.046,0.019,0.058,0.535,0.1,0.004,0.031
Parenthesis,0.074,0.016,0.037,0.049,0.029,0.045,0.107,0.582,0.008,0.053
Jackpot,0.066,0.02,0.137,0.035,0.09,0.02,0.012,0.031,0.586,0.004
Gigantic,0.038,0.134,0.038,0.059,0.059,0.034,0.055,0.046,0.021,0.517
