Class,Man,Blackboard,Goofy,Camera,Binoculars,Compact,Grandnieces,Parenthesis,Jackpot,Gigantic
Man,0.708,0.034,0.0,0.06,0.0,0.064,0.034,0.045,0.041,0.015
Blackboard,0.071,0.695,0.013,0.031,0.022,0.013,0.013,0.009,0.084,0.049
Goofy,0.011,0.037,0.646,0.015,0.018,0.055,0.077,0.026,0.074,0.041
Camera,0.034,0.045,0.026,0.585,0.038,0.053,0.045,0.057,0.042,0.075
Binoculars,0.03,0.017,0.022,0.03,0.713,0.026,0.013,0.026,0.057,0.065
Compact,0.016,0.029,0.062,0.058,0.058,0.695,0.016,0.049,0.012,0.004
Grandnieces,0.019,0.073,0.1,0.042,0.004,0.035,0.55,0.115,0.012,0.05
Parenthesis,0.008,0.008,0.033,0.025,0.008,0.049,0.033,0.73,0.016,0.09
Jackpot,0.023,0.012,0.082,0.016,0.055,0.02,0.031,0.016,0.738,0.008
Gigantic,0.029,0.105,0.038,0.025,0.038,0.017,0.017,0.017,0.013,0.702
