Class,Foreclose,Publish,Interim,Compact,Sublime,Ring,Wealth,Law,Food,Life,Snapshot,War,Blackboard,Termination,Etymology,Handbook,Future,Damage,Inflatable,Binoculars
Foreclose,0.084,0.134,0.034,0.059,0.017,0.042,0.185,0.05,0.042,0.067,0.042,0.017,0.017,0.008,0.0,0.008,0.05,0.092,0.0,0.05
Publish,0.083,0.053,0.023,0.136,0.038,0.0,0.083,0.038,0.0,0.091,0.098,0.03,0.008,0.015,0.023,0.0,0.076,0.167,0.0,0.038
Interim,0.008,0.016,0.301,0.016,0.089,0.081,0.008,0.033,0.049,0.065,0.0,0.057,0.0,0.008,0.081,0.0,0.0,0.106,0.049,0.033
Compact,0.124,0.044,0.0,0.195,0.0,0.0,0.115,0.018,0.124,0.062,0.097,0.0,0.009,0.009,0.044,0.0,0.018,0.062,0.018,0.062
Sublime,0.073,0.051,0.088,0.022,0.088,0.058,0.036,0.088,0.036,0.0,0.029,0.102,0.007,0.022,0.051,0.0,0.022,0.073,0.0,0.153
Ring,0.058,0.0,0.144,0.022,0.043,0.23,0.022,0.007,0.029,0.072,0.0,0.029,0.022,0.0,0.079,0.0,0.05,0.014,0.007,0.173
Wealth,0.032,0.016,0.008,0.056,0.024,0.016,0.4,0.056,0.072,0.024,0.008,0.032,0.0,0.008,0.048,0.008,0.064,0.024,0.008,0.096
Law,0.054,0.039,0.093,0.039,0.07,0.039,0.023,0.07,0.101,0.039,0.023,0.0,0.0,0.023,0.078,0.0,0.078,0.194,0.008,0.031
Food,0.0,0.0,0.146,0.085,0.015,0.046,0.038,0.038,0.223,0.015,0.015,0.038,0.015,0.015,0.162,0.0,0.008,0.015,0.031,0.092
Life,0.0,0.008,0.076,0.023,0.0,0.121,0.008,0.0,0.189,0.333,0.068,0.0,0.0,0.0,0.045,0.023,0.023,0.061,0.015,0.008
Snapshot,0.039,0.016,0.055,0.15,0.024,0.008,0.079,0.008,0.236,0.063,0.094,0.031,0.0,0.008,0.079,0.008,0.047,0.039,0.0,0.016
War,0.018,0.009,0.053,0.018,0.053,0.0,0.062,0.018,0.044,0.035,0.009,0.221,0.009,0.071,0.027,0.018,0.009,0.133,0.009,0.186
Blackboard,0.12,0.008,0.038,0.038,0.038,0.038,0.068,0.03,0.068,0.128,0.023,0.053,0.008,0.068,0.06,0.0,0.068,0.068,0.008,0.075
Termination,0.009,0.0,0.009,0.018,0.064,0.064,0.064,0.009,0.055,0.009,0.0,0.092,0.0,0.11,0.009,0.009,0.018,0.376,0.0,0.083
Etymology,0.0,0.0,0.03,0.023,0.098,0.076,0.053,0.053,0.098,0.091,0.0,0.015,0.008,0.008,0.348,0.023,0.015,0.038,0.0,0.023
Handbook,0.016,0.023,0.194,0.039,0.047,0.085,0.155,0.023,0.07,0.085,0.008,0.0,0.0,0.031,0.054,0.016,0.031,0.031,0.023,0.07
Future,0.026,0.026,0.026,0.053,0.0,0.0,0.079,0.026,0.096,0.149,0.018,0.026,0.0,0.035,0.009,0.018,0.132,0.132,0.0,0.149
Damage,0.016,0.016,0.078,0.039,0.102,0.016,0.0,0.109,0.039,0.039,0.008,0.047,0.008,0.016,0.016,0.0,0.031,0.367,0.008,0.047
Inflatable,0.0,0.017,0.026,0.085,0.026,0.137,0.009,0.009,0.197,0.094,0.017,0.017,0.009,0.026,0.06,0.0,0.009,0.179,0.043,0.043
Binoculars,0.025,0.008,0.008,0.025,0.017,0.109,0.092,0.05,0.034,0.017,0.0,0.076,0.008,0.101,0.008,0.0,0.008,0.084,0.0,0.328
