Class,Foreclose,Publish,Interim,Compact,Sublime,Ring,Wealth,Law,Food,Life,Snapshot,War,Blackboard,Termination,Etymology,Handbook,Future,Damage,Inflatable,Binoculars
Foreclose,0.235,0.092,0.008,0.059,0.05,0.042,0.05,0.05,0.008,0.017,0.05,0.017,0.025,0.067,0.042,0.034,0.067,0.017,0.017,0.05
Publish,0.068,0.227,0.008,0.076,0.023,0.015,0.03,0.144,0.015,0.068,0.038,0.045,0.023,0.03,0.061,0.015,0.038,0.045,0.023,0.008
Interim,0.033,0.049,0.26,0.008,0.057,0.057,0.016,0.049,0.024,0.057,0.024,0.033,0.008,0.041,0.024,0.081,0.033,0.057,0.057,0.033
Compact,0.08,0.053,0.009,0.142,0.027,0.062,0.053,0.035,0.035,0.08,0.097,0.027,0.053,0.035,0.027,0.053,0.062,0.027,0.018,0.027
Sublime,0.029,0.066,0.066,0.036,0.307,0.029,0.007,0.022,0.058,0.036,0.029,0.102,0.007,0.022,0.015,0.029,0.058,0.029,0.015,0.036
Ring,0.036,0.014,0.065,0.029,0.029,0.201,0.007,0.014,0.043,0.065,0.022,0.05,0.086,0.05,0.043,0.022,0.05,0.029,0.079,0.065
Wealth,0.072,0.04,0.016,0.032,0.04,0.024,0.376,0.032,0.048,0.008,0.048,0.064,0.016,0.04,0.056,0.024,0.0,0.008,0.0,0.056
Law,0.047,0.101,0.008,0.047,0.031,0.039,0.008,0.295,0.054,0.008,0.054,0.031,0.047,0.039,0.016,0.039,0.047,0.031,0.047,0.016
Food,0.015,0.008,0.031,0.023,0.054,0.008,0.031,0.031,0.392,0.038,0.023,0.015,0.046,0.008,0.092,0.062,0.008,0.031,0.046,0.038
Life,0.015,0.008,0.015,0.053,0.008,0.03,0.015,0.03,0.053,0.326,0.038,0.038,0.045,0.015,0.053,0.076,0.03,0.038,0.106,0.008
Snapshot,0.047,0.039,0.031,0.118,0.063,0.024,0.016,0.016,0.047,0.039,0.283,0.031,0.031,0.016,0.039,0.031,0.055,0.039,0.008,0.024
War,0.018,0.044,0.035,0.044,0.115,0.0,0.018,0.018,0.035,0.027,0.009,0.31,0.053,0.044,0.062,0.018,0.027,0.062,0.009,0.053
Blackboard,0.098,0.045,0.015,0.03,0.045,0.015,0.038,0.023,0.06,0.03,0.068,0.023,0.203,0.038,0.045,0.03,0.038,0.083,0.053,0.023
Termination,0.018,0.018,0.028,0.037,0.009,0.018,0.009,0.037,0.037,0.009,0.028,0.073,0.046,0.33,0.037,0.028,0.037,0.073,0.073,0.055
Etymology,0.0,0.03,0.053,0.008,0.023,0.015,0.053,0.03,0.083,0.03,0.068,0.023,0.038,0.03,0.326,0.076,0.023,0.023,0.038,0.03
Handbook,0.039,0.023,0.085,0.023,0.047,0.054,0.031,0.039,0.023,0.062,0.039,0.023,0.039,0.023,0.062,0.279,0.039,0.0,0.039,0.031
Future,0.053,0.053,0.018,0.026,0.044,0.061,0.026,0.053,0.053,0.026,0.026,0.026,0.018,0.018,0.018,0.026,0.307,0.061,0.07,0.018
Damage,0.031,0.039,0.047,0.008,0.047,0.008,0.031,0.062,0.039,0.016,0.047,0.031,0.039,0.055,0.023,0.07,0.055,0.25,0.062,0.039
Inflatable,0.017,0.034,0.034,0.034,0.017,0.034,0.009,0.026,0.043,0.017,0.043,0.026,0.043,0.085,0.026,0.068,0.017,0.051,0.368,0.009
Binoculars,0.017,0.034,0.008,0.025,0.025,0.109,0.042,0.042,0.025,0.017,0.017,0.059,0.025,0.042,0.017,0.034,0.017,0.05,0.008,0.387
