Class,Foreclose,Publish,Interim,Compact,Sublime,Ring,Wealth,Law,Food,Life,Snapshot,War,Blackboard,Termination,Etymology,Handbook,Future,Damage,Inflatable,Binoculars
Foreclose,0.445,0.017,0.092,0.109,0.034,0.042,0.05,0.008,0.0,0.034,0.042,0.017,0.0,0.0,0.008,0.017,0.042,0.008,0.0,0.034
Publish,0.152,0.417,0.03,0.068,0.015,0.0,0.03,0.045,0.0,0.045,0.008,0.053,0.023,0.038,0.023,0.008,0.023,0.008,0.008,0.008
Interim,0.016,0.098,0.415,0.016,0.024,0.073,0.008,0.016,0.008,0.049,0.016,0.033,0.008,0.033,0.024,0.041,0.033,0.024,0.041,0.024
Compact,0.133,0.062,0.035,0.442,0.018,0.018,0.035,0.009,0.018,0.044,0.027,0.018,0.018,0.027,0.018,0.0,0.018,0.018,0.044,0.0
Sublime,0.088,0.066,0.088,0.044,0.416,0.022,0.015,0.007,0.051,0.036,0.007,0.029,0.007,0.022,0.0,0.044,0.022,0.0,0.007,0.029
Ring,0.029,0.014,0.144,0.05,0.022,0.432,0.007,0.014,0.022,0.036,0.0,0.029,0.043,0.022,0.036,0.029,0.007,0.007,0.036,0.022
Wealth,0.144,0.096,0.024,0.056,0.016,0.024,0.448,0.0,0.0,0.024,0.016,0.032,0.032,0.008,0.048,0.008,0.008,0.008,0.0,0.008
Law,0.101,0.116,0.054,0.039,0.039,0.031,0.008,0.388,0.039,0.008,0.016,0.016,0.0,0.023,0.008,0.023,0.039,0.023,0.023,0.008
Food,0.038,0.054,0.046,0.085,0.046,0.062,0.054,0.015,0.431,0.008,0.0,0.008,0.015,0.023,0.023,0.008,0.008,0.023,0.054,0.0
Life,0.045,0.038,0.068,0.076,0.023,0.068,0.0,0.0,0.045,0.5,0.03,0.008,0.0,0.023,0.023,0.008,0.015,0.0,0.023,0.008
Snapshot,0.079,0.102,0.11,0.079,0.031,0.024,0.016,0.024,0.024,0.055,0.283,0.031,0.016,0.016,0.008,0.016,0.039,0.024,0.016,0.008
War,0.053,0.044,0.044,0.018,0.097,0.018,0.071,0.018,0.009,0.009,0.018,0.398,0.044,0.044,0.0,0.0,0.009,0.027,0.009,0.071
Blackboard,0.083,0.038,0.045,0.075,0.075,0.053,0.068,0.023,0.045,0.008,0.023,0.03,0.226,0.03,0.03,0.015,0.03,0.038,0.015,0.053
Termination,0.028,0.073,0.037,0.073,0.037,0.018,0.018,0.037,0.028,0.0,0.018,0.028,0.037,0.431,0.009,0.009,0.009,0.018,0.064,0.028
Etymology,0.008,0.045,0.061,0.038,0.076,0.045,0.061,0.03,0.061,0.023,0.038,0.008,0.015,0.0,0.424,0.045,0.008,0.008,0.008,0.0
Handbook,0.016,0.047,0.132,0.023,0.039,0.054,0.039,0.062,0.031,0.023,0.031,0.031,0.016,0.031,0.039,0.287,0.023,0.0,0.023,0.054
Future,0.07,0.061,0.018,0.053,0.061,0.026,0.018,0.035,0.026,0.044,0.035,0.009,0.009,0.009,0.009,0.026,0.421,0.035,0.035,0.0
Damage,0.031,0.047,0.039,0.016,0.094,0.023,0.008,0.07,0.023,0.031,0.016,0.031,0.023,0.07,0.047,0.062,0.023,0.289,0.031,0.023
Inflatable,0.068,0.043,0.06,0.077,0.026,0.051,0.009,0.017,0.051,0.009,0.034,0.026,0.009,0.085,0.026,0.0,0.0,0.017,0.368,0.026
Binoculars,0.059,0.034,0.042,0.034,0.025,0.101,0.017,0.042,0.025,0.0,0.008,0.05,0.025,0.017,0.008,0.008,0.008,0.05,0.017,0.429
