Class,Foreclose,Publish,Interim,Compact,Sublime,Ring,Wealth,Law,Food,Life,Snapshot,War,Blackboard,Termination,Etymology,Handbook,Future,Damage,Inflatable,Binoculars
Foreclose,0.185,0.101,0.05,0.059,0.034,0.034,0.126,0.034,0.008,0.034,0.168,0.0,0.0,0.008,0.0,0.017,0.092,0.008,0.0,0.042
Publish,0.144,0.106,0.023,0.129,0.038,0.008,0.076,0.068,0.0,0.076,0.061,0.023,0.0,0.068,0.061,0.008,0.045,0.053,0.0,0.015
Interim,0.033,0.033,0.211,0.0,0.041,0.122,0.0,0.057,0.033,0.041,0.008,0.081,0.024,0.024,0.073,0.041,0.033,0.049,0.098,0.0
Compact,0.097,0.035,0.009,0.301,0.0,0.0,0.062,0.009,0.062,0.053,0.15,0.009,0.0,0.018,0.044,0.0,0.044,0.035,0.018,0.053
Sublime,0.088,0.102,0.095,0.029,0.051,0.051,0.0,0.051,0.029,0.0,0.007,0.146,0.0,0.036,0.007,0.0,0.153,0.066,0.0,0.088
Ring,0.0,0.007,0.115,0.043,0.0,0.259,0.007,0.05,0.036,0.086,0.007,0.014,0.014,0.007,0.05,0.058,0.007,0.007,0.036,0.194
Wealth,0.056,0.0,0.0,0.032,0.032,0.024,0.408,0.016,0.024,0.032,0.008,0.072,0.0,0.008,0.08,0.024,0.088,0.008,0.008,0.08
Law,0.039,0.07,0.109,0.008,0.039,0.0,0.023,0.264,0.039,0.008,0.039,0.008,0.023,0.016,0.062,0.0,0.07,0.062,0.124,0.0
Food,0.008,0.0,0.069,0.1,0.0,0.015,0.077,0.031,0.215,0.054,0.031,0.0,0.008,0.008,0.138,0.023,0.0,0.054,0.108,0.062
Life,0.023,0.015,0.053,0.045,0.0,0.106,0.0,0.008,0.114,0.356,0.038,0.0,0.008,0.015,0.068,0.015,0.053,0.015,0.061,0.008
Snapshot,0.031,0.024,0.016,0.15,0.008,0.0,0.071,0.008,0.071,0.102,0.299,0.031,0.0,0.016,0.071,0.024,0.008,0.071,0.0,0.0
War,0.009,0.009,0.018,0.035,0.062,0.018,0.0,0.009,0.044,0.018,0.0,0.345,0.027,0.097,0.009,0.035,0.071,0.053,0.018,0.124
Blackboard,0.105,0.045,0.06,0.03,0.023,0.068,0.053,0.03,0.083,0.083,0.038,0.038,0.008,0.083,0.06,0.015,0.06,0.015,0.053,0.053
Termination,0.055,0.0,0.009,0.037,0.064,0.018,0.028,0.018,0.018,0.0,0.009,0.083,0.037,0.394,0.0,0.009,0.0,0.11,0.055,0.055
Etymology,0.015,0.023,0.053,0.0,0.008,0.053,0.091,0.053,0.144,0.045,0.0,0.0,0.045,0.0,0.341,0.023,0.008,0.068,0.015,0.015
Handbook,0.047,0.023,0.093,0.031,0.124,0.093,0.101,0.016,0.031,0.07,0.023,0.031,0.0,0.0,0.062,0.039,0.07,0.016,0.078,0.054
Future,0.035,0.009,0.044,0.053,0.0,0.018,0.018,0.026,0.009,0.07,0.088,0.044,0.009,0.07,0.026,0.009,0.351,0.088,0.009,0.026
Damage,0.008,0.016,0.07,0.016,0.094,0.016,0.008,0.172,0.023,0.016,0.0,0.031,0.0,0.117,0.0,0.0,0.094,0.273,0.023,0.023
Inflatable,0.0,0.017,0.034,0.077,0.009,0.145,0.0,0.034,0.051,0.06,0.103,0.026,0.017,0.068,0.043,0.026,0.017,0.043,0.214,0.017
Binoculars,0.0,0.008,0.008,0.008,0.025,0.076,0.059,0.042,0.025,0.0,0.0,0.084,0.017,0.109,0.042,0.0,0.017,0.059,0.05,0.37
