Class,Foreclose,Publish,Interim,Compact,Sublime,Ring,Wealth,Law,Food,Life,Snapshot,War,Blackboard,Termination,Etymology,Handbook,Future,Damage,Inflatable,Binoculars
Foreclose,0.479,0.034,0.034,0.084,0.025,0.008,0.0,0.059,0.017,0.0,0.059,0.0,0.034,0.025,0.008,0.025,0.067,0.008,0.008,0.025
Publish,0.068,0.492,0.023,0.061,0.008,0.008,0.038,0.03,0.015,0.023,0.038,0.045,0.015,0.038,0.023,0.0,0.053,0.015,0.0,0.008
Interim,0.024,0.024,0.447,0.016,0.016,0.016,0.008,0.024,0.033,0.057,0.008,0.024,0.016,0.041,0.065,0.041,0.024,0.016,0.081,0.016
Compact,0.088,0.009,0.018,0.478,0.018,0.018,0.027,0.018,0.035,0.018,0.071,0.009,0.0,0.027,0.027,0.009,0.053,0.018,0.062,0.0
Sublime,0.066,0.015,0.08,0.015,0.372,0.015,0.029,0.036,0.066,0.015,0.0,0.066,0.066,0.007,0.015,0.022,0.044,0.044,0.0,0.029
Ring,0.0,0.0,0.043,0.043,0.007,0.547,0.0,0.022,0.022,0.022,0.0,0.029,0.043,0.036,0.029,0.029,0.007,0.007,0.036,0.079
Wealth,0.032,0.056,0.024,0.024,0.0,0.016,0.552,0.008,0.016,0.008,0.032,0.016,0.024,0.016,0.048,0.064,0.024,0.008,0.0,0.032
Law,0.101,0.054,0.039,0.008,0.031,0.008,0.023,0.395,0.078,0.0,0.023,0.008,0.031,0.039,0.039,0.023,0.016,0.054,0.016,0.016
Food,0.0,0.031,0.023,0.038,0.015,0.054,0.038,0.015,0.6,0.031,0.008,0.008,0.008,0.008,0.046,0.0,0.0,0.031,0.038,0.008
Life,0.038,0.03,0.038,0.03,0.008,0.061,0.0,0.015,0.068,0.523,0.015,0.008,0.015,0.038,0.015,0.015,0.0,0.015,0.053,0.015
Snapshot,0.063,0.039,0.039,0.102,0.016,0.008,0.024,0.0,0.024,0.039,0.402,0.039,0.024,0.008,0.039,0.016,0.024,0.0,0.079,0.016
War,0.018,0.009,0.053,0.009,0.071,0.0,0.035,0.035,0.009,0.0,0.0,0.478,0.062,0.071,0.0,0.018,0.027,0.018,0.018,0.071
Blackboard,0.038,0.038,0.038,0.023,0.06,0.023,0.053,0.023,0.038,0.06,0.083,0.008,0.241,0.045,0.023,0.03,0.008,0.06,0.008,0.105
Termination,0.009,0.018,0.009,0.037,0.018,0.0,0.046,0.018,0.028,0.0,0.009,0.028,0.037,0.55,0.0,0.0,0.028,0.028,0.064,0.073
Etymology,0.008,0.008,0.015,0.023,0.023,0.008,0.038,0.045,0.038,0.03,0.03,0.0,0.023,0.015,0.621,0.015,0.008,0.008,0.023,0.023
Handbook,0.023,0.031,0.085,0.0,0.031,0.093,0.047,0.039,0.016,0.039,0.031,0.016,0.016,0.023,0.078,0.372,0.016,0.008,0.008,0.031
Future,0.035,0.009,0.009,0.035,0.009,0.009,0.018,0.009,0.009,0.035,0.018,0.018,0.0,0.053,0.018,0.035,0.596,0.053,0.035,0.0
Damage,0.008,0.008,0.031,0.031,0.039,0.008,0.008,0.094,0.039,0.023,0.008,0.016,0.016,0.07,0.008,0.031,0.023,0.461,0.023,0.055
Inflatable,0.017,0.017,0.017,0.017,0.0,0.034,0.009,0.026,0.043,0.026,0.034,0.034,0.017,0.068,0.026,0.043,0.026,0.026,0.496,0.026
Binoculars,0.017,0.0,0.034,0.017,0.008,0.067,0.025,0.017,0.017,0.008,0.0,0.067,0.008,0.042,0.034,0.025,0.017,0.05,0.008,0.538
