Class,Foreclose,Publish,Interim,Compact,Sublime,Ring,Wealth,Law,Food,Life,Snapshot,War,Blackboard,Termination,Etymology,Handbook,Future,Damage,Inflatable,Binoculars
Foreclose,0.479,0.034,0.034,0.042,0.05,0.034,0.059,0.042,0.0,0.008,0.034,0.0,0.017,0.0,0.008,0.017,0.076,0.008,0.008,0.05
Publish,0.061,0.432,0.015,0.106,0.03,0.008,0.053,0.038,0.008,0.061,0.053,0.053,0.008,0.03,0.0,0.0,0.023,0.015,0.0,0.008
Interim,0.024,0.033,0.423,0.016,0.041,0.098,0.008,0.024,0.016,0.041,0.0,0.033,0.008,0.016,0.024,0.073,0.016,0.024,0.081,0.0
Compact,0.133,0.009,0.0,0.504,0.0,0.018,0.044,0.009,0.027,0.035,0.088,0.018,0.0,0.009,0.009,0.0,0.027,0.009,0.044,0.018
Sublime,0.058,0.022,0.066,0.007,0.401,0.007,0.015,0.029,0.044,0.007,0.0,0.088,0.066,0.007,0.015,0.015,0.051,0.029,0.022,0.051
Ring,0.0,0.007,0.094,0.05,0.0,0.54,0.0,0.014,0.007,0.036,0.0,0.029,0.05,0.022,0.014,0.014,0.007,0.007,0.043,0.065
Wealth,0.048,0.048,0.008,0.024,0.024,0.008,0.624,0.008,0.016,0.016,0.016,0.008,0.048,0.008,0.04,0.024,0.016,0.008,0.0,0.008
Law,0.054,0.039,0.047,0.023,0.039,0.016,0.016,0.403,0.093,0.008,0.023,0.008,0.016,0.047,0.031,0.047,0.031,0.039,0.016,0.008
Food,0.0,0.015,0.054,0.054,0.015,0.015,0.046,0.015,0.538,0.023,0.008,0.008,0.023,0.0,0.092,0.015,0.0,0.008,0.054,0.015
Life,0.015,0.03,0.03,0.023,0.015,0.061,0.0,0.023,0.053,0.591,0.008,0.0,0.015,0.008,0.03,0.008,0.008,0.023,0.053,0.008
Snapshot,0.039,0.024,0.008,0.11,0.0,0.0,0.047,0.008,0.039,0.094,0.394,0.055,0.0,0.024,0.063,0.0,0.016,0.039,0.039,0.0
War,0.018,0.0,0.044,0.027,0.044,0.009,0.044,0.009,0.018,0.027,0.009,0.513,0.053,0.053,0.009,0.009,0.0,0.053,0.0,0.062
Blackboard,0.053,0.045,0.023,0.045,0.023,0.03,0.045,0.015,0.03,0.06,0.06,0.015,0.308,0.068,0.023,0.023,0.03,0.023,0.008,0.075
Termination,0.009,0.009,0.018,0.018,0.055,0.037,0.028,0.046,0.037,0.0,0.018,0.046,0.018,0.514,0.009,0.009,0.018,0.028,0.037,0.046
Etymology,0.015,0.008,0.015,0.0,0.008,0.038,0.023,0.03,0.03,0.023,0.023,0.0,0.023,0.015,0.659,0.03,0.015,0.015,0.023,0.008
Handbook,0.031,0.008,0.062,0.047,0.054,0.085,0.031,0.016,0.031,0.062,0.023,0.016,0.016,0.0,0.039,0.364,0.039,0.008,0.016,0.054
Future,0.026,0.009,0.009,0.061,0.009,0.0,0.026,0.044,0.009,0.026,0.044,0.018,0.0,0.044,0.009,0.009,0.561,0.035,0.044,0.018
Damage,0.0,0.0,0.031,0.023,0.047,0.008,0.0,0.141,0.008,0.016,0.016,0.055,0.016,0.078,0.008,0.039,0.047,0.438,0.0,0.031
Inflatable,0.017,0.026,0.026,0.043,0.009,0.051,0.0,0.017,0.026,0.043,0.017,0.026,0.017,0.06,0.06,0.017,0.009,0.026,0.496,0.017
Binoculars,0.0,0.0,0.017,0.025,0.008,0.067,0.025,0.025,0.017,0.0,0.0,0.059,0.017,0.05,0.008,0.008,0.0,0.05,0.0,0.622
