Class,Coloring,Butterscotch,Owl,Erratic,Agonistic,Nephogram,Foreclose,Publish,Jackpot,Man,Zestful,Citizen,Tree,Tabletop,Dark,Marshmallow,Carsick,Termination,Recount,Damage,Vineyard,Gigantic,Mascot,Magnificent,Lifeline,Decorum,Perpetrator,Bookworm,Engender,Future,Grandnieces,Fish,Teamwork,Way,Dangerous,Sublime,Eulogy,Moonwalk,Abjure,Kitchenette,Ring,Envelope,Inflatable,Mine,Celebrate,Inimical,Reporter,Blackboard,Parenthesis,Etymology
Coloring,0.0,0.0,0.036,0.0,0.018,0.0,0.109,0.018,0.036,0.0,0.036,0.0,0.0,0.018,0.0,0.091,0.0,0.0,0.0,0.036,0.0,0.018,0.0,0.0,0.018,0.018,0.055,0.018,0.0,0.0,0.0,0.018,0.0,0.018,0.055,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.036,0.018,0.109,0.018,0.0,0.036,0.145,0.0
Butterscotch,0.0,0.077,0.058,0.019,0.115,0.115,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.019,0.019,0.0,0.038,0.0,0.038,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.019,0.0,0.0,0.058,0.019,0.058,0.0,0.0,0.019,0.0,0.019,0.0,0.038,0.0,0.0,0.019,0.0,0.019,0.0,0.058,0.038,0.019
Owl,0.0,0.021,0.0,0.0,0.042,0.062,0.083,0.042,0.021,0.0,0.021,0.0,0.021,0.062,0.0,0.0,0.0,0.0,0.021,0.021,0.062,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.042,0.0,0.0,0.0,0.021,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.021,0.021,0.021,0.0
Erratic,0.022,0.022,0.0,0.087,0.043,0.065,0.0,0.022,0.043,0.022,0.022,0.0,0.065,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.087,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.022,0.0,0.0,0.087,0.022,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.043,0.043,0.043,0.022,0.022,0.0,0.0,0.0,0.065,0.022
Agonistic,0.0,0.044,0.022,0.0,0.022,0.067,0.067,0.111,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.022,0.0,0.0,0.022,0.0,0.0,0.044,0.022,0.0,0.0,0.044,0.0,0.0,0.111,0.022,0.022,0.044,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089
Nephogram,0.0,0.0,0.0,0.0,0.0,0.179,0.036,0.107,0.018,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.036,0.0,0.018,0.054,0.0,0.018,0.0,0.054,0.0,0.0,0.018,0.0,0.0,0.036,0.018,0.0,0.071,0.0,0.0,0.018,0.036,0.0,0.018,0.036,0.018,0.018,0.0,0.0,0.0,0.0
Foreclose,0.034,0.0,0.0,0.017,0.085,0.0,0.186,0.0,0.0,0.0,0.068,0.0,0.034,0.034,0.0,0.017,0.0,0.034,0.0,0.0,0.0,0.034,0.0,0.017,0.0,0.034,0.017,0.0,0.051,0.0,0.0,0.0,0.034,0.017,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.034,0.102,0.0,0.068,0.017,0.017
Publish,0.0,0.045,0.045,0.0,0.023,0.045,0.0,0.068,0.023,0.045,0.0,0.0,0.091,0.023,0.0,0.0,0.0,0.091,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.045,0.045,0.068,0.023,0.023,0.0,0.023,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.023,0.114,0.023
Jackpot,0.0,0.037,0.019,0.0,0.0,0.0,0.0,0.056,0.074,0.0,0.0,0.0,0.037,0.13,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.019,0.0,0.0,0.019,0.0,0.0,0.056,0.037,0.037,0.0,0.0,0.0,0.0,0.056,0.0,0.019,0.037,0.056,0.019,0.019,0.0,0.0,0.0,0.037,0.019,0.0,0.0,0.185,0.0
Man,0.0,0.039,0.0,0.02,0.0,0.02,0.02,0.059,0.078,0.02,0.0,0.0,0.059,0.098,0.02,0.0,0.02,0.039,0.0,0.0,0.039,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.078,0.0,0.0,0.078,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.02,0.0,0.0,0.039,0.078,0.039,0.0
