Class,Coloring,Butterscotch,Owl,Erratic,Agonistic,Nephogram,Foreclose,Publish,Jackpot,Man,Zestful,Citizen,Tree,Tabletop,Dark,Marshmallow,Carsick,Termination,Recount,Damage,Vineyard,Gigantic,Mascot,Magnificent,Lifeline,Decorum,Perpetrator,Bookworm,Engender,Future,Grandnieces,Fish,Teamwork,Way,Dangerous,Sublime,Eulogy,Moonwalk,Abjure,Kitchenette,Ring,Envelope,Inflatable,Mine,Celebrate,Inimical,Reporter,Blackboard,Parenthesis,Etymology
Coloring,0.218,0.0,0.018,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.036,0.0,0.018,0.0,0.0,0.0,0.018,0.018,0.018,0.018,0.018,0.091,0.0,0.0,0.018,0.036,0.055,0.036,0.0,0.0,0.018,0.018,0.036,0.0,0.036,0.018,0.0,0.018,0.0,0.0,0.0,0.036,0.0,0.036,0.018,0.073,0.018,0.018,0.0
Butterscotch,0.0,0.154,0.0,0.0,0.0,0.058,0.038,0.038,0.019,0.019,0.019,0.0,0.038,0.0,0.019,0.0,0.0,0.019,0.0,0.0,0.038,0.038,0.019,0.038,0.019,0.0,0.019,0.0,0.019,0.019,0.019,0.019,0.038,0.0,0.019,0.019,0.019,0.019,0.0,0.038,0.019,0.0,0.0,0.077,0.0,0.0,0.019,0.0,0.019,0.038
Owl,0.0,0.021,0.125,0.0,0.021,0.062,0.042,0.021,0.021,0.0,0.0,0.021,0.0,0.0,0.062,0.021,0.0,0.042,0.0,0.021,0.083,0.0,0.021,0.0,0.0,0.0,0.021,0.0,0.021,0.021,0.021,0.0,0.0,0.042,0.021,0.062,0.042,0.0,0.021,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.021,0.042,0.021,0.0
Erratic,0.0,0.043,0.043,0.109,0.022,0.022,0.0,0.0,0.043,0.065,0.043,0.022,0.0,0.0,0.043,0.022,0.022,0.0,0.022,0.022,0.022,0.0,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.043,0.022,0.087,0.0,0.0,0.022,0.0,0.0,0.022,0.065,0.0,0.043,0.0,0.043,0.0,0.0,0.022,0.0,0.0,0.022,0.0
Agonistic,0.022,0.022,0.0,0.022,0.178,0.022,0.0,0.0,0.022,0.0,0.022,0.044,0.0,0.0,0.067,0.0,0.0,0.022,0.0,0.0,0.067,0.044,0.022,0.044,0.0,0.044,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.044,0.022,0.022,0.044,0.0,0.022,0.0,0.022,0.044,0.022,0.0,0.0,0.0,0.044,0.0,0.0,0.022
Nephogram,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.054,0.018,0.018,0.0,0.0,0.036,0.018,0.0,0.054,0.0,0.071,0.018,0.0,0.018,0.0,0.0,0.036,0.0,0.071,0.0,0.018,0.054,0.0,0.054,0.0,0.0,0.036,0.054,0.018,0.018,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018
Foreclose,0.017,0.034,0.017,0.0,0.034,0.034,0.153,0.0,0.0,0.0,0.017,0.017,0.0,0.0,0.017,0.0,0.034,0.017,0.034,0.051,0.0,0.017,0.0,0.0,0.017,0.085,0.034,0.0,0.051,0.017,0.0,0.017,0.034,0.0,0.017,0.0,0.017,0.0,0.017,0.034,0.0,0.0,0.034,0.034,0.034,0.034,0.017,0.017,0.0,0.0
Publish,0.023,0.023,0.045,0.0,0.0,0.0,0.0,0.045,0.023,0.0,0.023,0.023,0.045,0.068,0.023,0.045,0.0,0.023,0.045,0.0,0.023,0.0,0.0,0.023,0.0,0.0,0.023,0.045,0.023,0.023,0.045,0.0,0.0,0.045,0.023,0.0,0.045,0.0,0.0,0.0,0.045,0.023,0.023,0.045,0.023,0.0,0.0,0.023,0.023,0.023
Jackpot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.185,0.0,0.0,0.037,0.0,0.037,0.074,0.0,0.019,0.037,0.019,0.056,0.019,0.0,0.019,0.0,0.0,0.0,0.037,0.0,0.0,0.074,0.074,0.019,0.019,0.037,0.019,0.037,0.0,0.019,0.019,0.0,0.0,0.0,0.019,0.019,0.019,0.019,0.019,0.0,0.019,0.019
Man,0.02,0.039,0.0,0.02,0.02,0.039,0.039,0.02,0.059,0.118,0.0,0.039,0.02,0.039,0.02,0.0,0.02,0.039,0.02,0.0,0.02,0.039,0.02,0.02,0.039,0.02,0.02,0.0,0.0,0.039,0.0,0.0,0.0,0.039,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,0.039,0.02,0.0,0.0,0.0,0.02,0.0
Zestful,0.018,0.018,0.018,0.018,0.055,0.0,0.036,0.018,0.0,0.0,0.2,0.055,0.0,0.018,0.036,0.036,0.018,0.055,0.0,0.018,0.0,0.036,0.0,0.0,0.036,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.036,0.036,0.0,0.0,0.0,0.0,0.018,0.018,0.055,0.0,0.0,0.018,0.036,0.018,0.0,0.036,0.0,0.0
