Class,Coloring,Butterscotch,Owl,Erratic,Agonistic,Nephogram,Foreclose,Publish,Jackpot,Man,Zestful,Citizen,Tree,Tabletop,Dark,Marshmallow,Carsick,Termination,Recount,Damage,Vineyard,Gigantic,Mascot,Magnificent,Lifeline,Decorum,Perpetrator,Bookworm,Engender,Future,Grandnieces,Fish,Teamwork,Way,Dangerous,Sublime,Eulogy,Moonwalk,Abjure,Kitchenette,Ring,Envelope,Inflatable,Mine,Celebrate,Inimical,Reporter,Blackboard,Parenthesis,Etymology
Coloring,0.4,0.0,0.018,0.018,0.036,0.036,0.091,0.018,0.018,0.018,0.055,0.036,0.018,0.018,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.018,0.0,0.0,0.018,0.018,0.018,0.0,0.0,0.0,0.0,0.018,0.036,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0
Butterscotch,0.038,0.327,0.077,0.019,0.038,0.038,0.0,0.038,0.0,0.0,0.019,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.038,0.019,0.0,0.0,0.0,0.019,0.038,0.038,0.0,0.0,0.019,0.0,0.0,0.019,0.0,0.0,0.019,0.019,0.0,0.019,0.0,0.0,0.038,0.019,0.019,0.019,0.0,0.0,0.019,0.0,0.019,0.0
Owl,0.042,0.042,0.292,0.0,0.0,0.042,0.062,0.0,0.0,0.021,0.0,0.0,0.0,0.021,0.0,0.0,0.042,0.021,0.042,0.0,0.0,0.0,0.042,0.021,0.0,0.0,0.0,0.0,0.0,0.021,0.042,0.0,0.0,0.042,0.0,0.021,0.021,0.042,0.0,0.021,0.0,0.0,0.0,0.042,0.0,0.0,0.021,0.042,0.0,0.0
Erratic,0.022,0.152,0.043,0.261,0.0,0.022,0.0,0.0,0.109,0.022,0.022,0.043,0.022,0.0,0.0,0.0,0.022,0.022,0.0,0.022,0.022,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.022,0.065,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agonistic,0.022,0.067,0.089,0.044,0.333,0.044,0.0,0.0,0.044,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.044,0.0,0.0,0.067,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.022,0.022,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022
Nephogram,0.0,0.089,0.089,0.018,0.107,0.339,0.0,0.036,0.0,0.036,0.0,0.036,0.018,0.0,0.018,0.0,0.0,0.018,0.0,0.0,0.018,0.0,0.0,0.018,0.0,0.018,0.0,0.054,0.0,0.0,0.018,0.0,0.018,0.0,0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0
Foreclose,0.119,0.051,0.051,0.051,0.051,0.051,0.237,0.0,0.0,0.0,0.017,0.017,0.0,0.051,0.017,0.0,0.017,0.017,0.0,0.0,0.0,0.017,0.0,0.017,0.017,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.034,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.034,0.017,0.034,0.017,0.0,0.0,0.017,0.0,0.0
Publish,0.023,0.023,0.045,0.0,0.091,0.068,0.0,0.205,0.045,0.045,0.0,0.068,0.0,0.0,0.045,0.045,0.0,0.0,0.023,0.0,0.023,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.023,0.0,0.0,0.045,0.023,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.023,0.023,0.0,0.045,0.0
Jackpot,0.037,0.019,0.037,0.037,0.0,0.019,0.019,0.074,0.444,0.019,0.0,0.0,0.0,0.019,0.019,0.037,0.019,0.019,0.037,0.0,0.019,0.019,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Man,0.02,0.039,0.078,0.02,0.02,0.039,0.0,0.02,0.059,0.275,0.02,0.0,0.039,0.039,0.02,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.039,0.039,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.02,0.02,0.0
