Class,Coloring,Butterscotch,Owl,Erratic,Agonistic,Nephogram,Foreclose,Publish,Jackpot,Man,Zestful,Citizen,Tree,Tabletop,Dark,Marshmallow,Carsick,Termination,Recount,Damage,Vineyard,Gigantic,Mascot,Magnificent,Lifeline,Decorum,Perpetrator,Bookworm,Engender,Future,Grandnieces,Fish,Teamwork,Way,Dangerous,Sublime,Eulogy,Moonwalk,Abjure,Kitchenette,Ring,Envelope,Inflatable,Mine,Celebrate,Inimical,Reporter,Blackboard,Parenthesis,Etymology
Coloring,0.164,0.0,0.0,0.0,0.055,0.036,0.036,0.0,0.0,0.055,0.073,0.018,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.036,0.0,0.0,0.0,0.109,0.018,0.018,0.036,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.036,0.018,0.036,0.036,0.0,0.0
Butterscotch,0.019,0.077,0.038,0.019,0.096,0.077,0.0,0.019,0.019,0.019,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.038,0.019,0.0,0.019,0.019,0.019,0.0,0.0,0.019,0.0,0.0,0.0,0.077,0.019,0.038,0.019,0.038,0.038,0.019,0.019,0.038,0.0,0.0,0.0,0.038,0.0,0.019,0.0,0.077,0.019,0.0
Owl,0.0,0.0,0.125,0.0,0.062,0.062,0.021,0.104,0.0,0.0,0.021,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.021,0.0,0.083,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.021,0.0,0.0,0.0,0.083,0.0,0.021,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.021,0.042,0.0,0.0
Erratic,0.0,0.0,0.0,0.109,0.0,0.087,0.0,0.022,0.0,0.022,0.043,0.0,0.043,0.043,0.022,0.0,0.0,0.022,0.0,0.0,0.065,0.0,0.0,0.043,0.0,0.0,0.0,0.065,0.022,0.0,0.0,0.087,0.0,0.0,0.022,0.0,0.0,0.087,0.0,0.0,0.022,0.022,0.065,0.0,0.022,0.0,0.0,0.0,0.065,0.0
Agonistic,0.0,0.044,0.067,0.0,0.111,0.022,0.022,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.156,0.067,0.0,0.0,0.022,0.0,0.0,0.022,0.0,0.022,0.022,0.044,0.044,0.0,0.089,0.0,0.0,0.0,0.044,0.0,0.022,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.044
Nephogram,0.0,0.0,0.0,0.018,0.036,0.286,0.018,0.054,0.0,0.036,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.018,0.0,0.054,0.071,0.018,0.0,0.0,0.0,0.036,0.018,0.089,0.0,0.0,0.0,0.0,0.036,0.018,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.071,0.0,0.036,0.0,0.018,0.0,0.0
Foreclose,0.051,0.0,0.0,0.051,0.068,0.0,0.169,0.0,0.0,0.0,0.017,0.0,0.0,0.085,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.017,0.034,0.017,0.017,0.051,0.0,0.017,0.051,0.017,0.034,0.0,0.017,0.0,0.0,0.017,0.017,0.017,0.0,0.017,0.051,0.017,0.085,0.034,0.0,0.0,0.0
Publish,0.0,0.023,0.068,0.023,0.0,0.023,0.0,0.136,0.023,0.0,0.0,0.0,0.023,0.0,0.0,0.114,0.0,0.114,0.0,0.0,0.091,0.0,0.0,0.0,0.045,0.045,0.0,0.0,0.0,0.023,0.0,0.0,0.023,0.045,0.023,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.045,0.0
Jackpot,0.0,0.019,0.019,0.019,0.019,0.0,0.0,0.037,0.019,0.093,0.019,0.0,0.0,0.0,0.019,0.167,0.0,0.056,0.019,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.037,0.019,0.019,0.0,0.0,0.0,0.019,0.019,0.019,0.0,0.037,0.037,0.037,0.0,0.0,0.037,0.0,0.0,0.056,0.0,0.0,0.0,0.019,0.056
Man,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.098,0.0,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.078,0.078,0.0,0.0,0.02,0.0,0.039,0.02,0.0,0.02,0.039,0.0,0.098,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0
