Class,Coloring,Butterscotch,Owl,Erratic,Agonistic,Nephogram,Foreclose,Publish,Jackpot,Man,Zestful,Citizen,Tree,Tabletop,Dark,Marshmallow,Carsick,Termination,Recount,Damage,Vineyard,Gigantic,Mascot,Magnificent,Lifeline,Decorum,Perpetrator,Bookworm,Engender,Future,Grandnieces,Fish,Teamwork,Way,Dangerous,Sublime,Eulogy,Moonwalk,Abjure,Kitchenette,Ring,Envelope,Inflatable,Mine,Celebrate,Inimical,Reporter,Blackboard,Parenthesis,Etymology
Coloring,0.364,0.0,0.018,0.018,0.0,0.0,0.036,0.0,0.0,0.018,0.018,0.127,0.0,0.0,0.0,0.0,0.018,0.0,0.055,0.018,0.036,0.0,0.018,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.055,0.036,0.0,0.0,0.018,0.0,0.0,0.018,0.036,0.0,0.0,0.0,0.036,0.0,0.0,0.036,0.0,0.0,0.0
Butterscotch,0.0,0.135,0.0,0.019,0.0,0.038,0.038,0.058,0.0,0.019,0.019,0.0,0.058,0.0,0.058,0.0,0.019,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.019,0.019,0.038,0.0,0.019,0.058,0.0,0.019,0.077,0.0,0.019,0.038,0.019,0.019,0.0,0.0,0.019,0.038,0.019,0.0,0.019,0.038,0.038,0.0
Owl,0.0,0.021,0.396,0.0,0.021,0.042,0.021,0.0,0.0,0.0,0.0,0.021,0.0,0.042,0.0,0.0,0.021,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.042,0.0,0.021,0.0,0.0,0.021,0.0,0.021,0.021,0.0,0.0,0.042,0.0,0.0,0.021,0.0,0.021,0.0,0.021,0.083,0.0,0.0
Erratic,0.0,0.022,0.022,0.196,0.0,0.0,0.0,0.022,0.043,0.043,0.043,0.0,0.043,0.0,0.022,0.022,0.043,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.022,0.022,0.022,0.0,0.0,0.065,0.022,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.022,0.065,0.0
Agonistic,0.022,0.0,0.022,0.0,0.222,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.022,0.156,0.044,0.022,0.0,0.044,0.022,0.0,0.022,0.044,0.044,0.022,0.0,0.022,0.022,0.0,0.0,0.0,0.0,0.022,0.0,0.022,0.022,0.022,0.022,0.0,0.0,0.022,0.0,0.0,0.044
Nephogram,0.018,0.018,0.018,0.054,0.018,0.321,0.0,0.018,0.0,0.018,0.0,0.071,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.018,0.036,0.0,0.0,0.0,0.036,0.018,0.0,0.071,0.018,0.0,0.089,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.0,0.018,0.0,0.018,0.0,0.0,0.0,0.018
Foreclose,0.017,0.0,0.0,0.017,0.0,0.017,0.322,0.0,0.0,0.017,0.017,0.017,0.0,0.051,0.0,0.0,0.0,0.034,0.0,0.017,0.017,0.034,0.0,0.017,0.017,0.051,0.0,0.034,0.034,0.0,0.0,0.017,0.017,0.0,0.0,0.0,0.017,0.0,0.034,0.0,0.017,0.0,0.0,0.0,0.017,0.102,0.017,0.034,0.0,0.0
Publish,0.0,0.0,0.091,0.0,0.0,0.045,0.0,0.205,0.045,0.0,0.0,0.045,0.0,0.023,0.023,0.068,0.023,0.023,0.0,0.023,0.045,0.023,0.0,0.0,0.023,0.0,0.0,0.0,0.023,0.0,0.023,0.0,0.023,0.0,0.0,0.023,0.0,0.0,0.045,0.023,0.0,0.0,0.0,0.068,0.0,0.045,0.0,0.0,0.023,0.0
Jackpot,0.037,0.037,0.0,0.0,0.0,0.019,0.0,0.037,0.259,0.037,0.019,0.0,0.0,0.0,0.019,0.019,0.0,0.056,0.0,0.0,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.056,0.0,0.019,0.019,0.0,0.0,0.019,0.037,0.0,0.019,0.019,0.0,0.037,0.019,0.019,0.0,0.019,0.019
Man,0.02,0.0,0.0,0.039,0.0,0.02,0.0,0.02,0.02,0.353,0.02,0.02,0.02,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.078,0.0,0.059,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.039,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.039,0.02,0.0,0.0,0.0,0.039,0.0
Zestful,0.109,0.0,0.018,0.0,0.0,0.0,0.018,0.018,0.0,0.018,0.182,0.018,0.0,0.0,0.018,0.018,0.036,0.036,0.036,0.0,0.018,0.073,0.0,0.0,0.018,0.0,0.018,0.0,0.018,0.0,0.0,0.018,0.0,0.018,0.018,0.0,0.0,0.0,0.091,0.055,0.018,0.0,0.0,0.055,0.0,0.036,0.018,0.0,0.0,0.0
Citizen,0.0,0.0,0.0,0.03,0.03,0.061,0.03,0.0,0.0,0.03,0.03,0.303,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.03,0.0,0.0,0.03,0.091,0.0,0.0
Tree,0.0,0.025,0.05,0.0,0.0,0.025,0.0,0.025,0.0,0.025,0.0,0.0,0.25,0.025,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.05,0.025,0.025,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.05,0.0,0.025,0.0,0.025,0.05,0.0,0.075,0.0,0.05,0.0,0.0,0.05
Tabletop,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.019,0.074,0.0,0.019,0.0,0.0,0.167,0.074,0.0,0.0,0.019,0.037,0.0,0.0,0.019,0.0,0.019,0.0,0.0,0.0,0.0,0.056,0.0,0.037,0.056,0.019,0.0,0.019,0.0,0.0,0.019,0.019,0.0,0.056,0.019,0.0,0.056,0.019,0.019,0.037,0.019,0.0,0.019
Dark,0.0,0.0,0.0,0.0,0.049,0.024,0.0,0.0,0.0,0.049,0.0,0.024,0.049,0.024,0.293,0.0,0.049,0.024,0.0,0.024,0.024,0.024,0.049,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.024,0.0,0.0,0.0,0.024,0.0,0.024,0.024,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.024
Marshmallow,0.0,0.0,0.0,0.0,0.043,0.0,0.021,0.0,0.021,0.0,0.021,0.064,0.0,0.021,0.0,0.255,0.043,0.0,0.0,0.0,0.064,0.0,0.021,0.021,0.043,0.043,0.0,0.0,0.043,0.021,0.043,0.0,0.0,0.021,0.0,0.0,0.021,0.0,0.0,0.0,0.021,0.021,0.021,0.0,0.0,0.0,0.0,0.043,0.043,0.021
Carsick,0.0,0.041,0.02,0.0,0.041,0.0,0.02,0.041,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.02,0.224,0.0,0.0,0.0,0.02,0.041,0.02,0.02,0.061,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.041,0.0,0.0,0.02,0.082,0.02,0.0,0.041,0.061,0.02,0.0
Termination,0.041,0.0,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.041,0.02,0.0,0.0,0.061,0.02,0.367,0.0,0.0,0.041,0.041,0.02,0.0,0.02,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0
Recount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.065,0.0,0.022,0.0,0.065,0.022,0.0,0.065,0.0,0.217,0.0,0.0,0.0,0.022,0.0,0.0,0.022,0.022,0.0,0.0,0.022,0.022,0.043,0.022,0.022,0.022,0.022,0.0,0.022,0.022,0.065,0.022,0.0,0.0,0.022,0.022,0.022,0.0,0.022,0.043,0.0
Damage,0.0,0.0,0.057,0.019,0.132,0.038,0.0,0.019,0.0,0.019,0.0,0.0,0.038,0.0,0.019,0.0,0.0,0.019,0.0,0.208,0.057,0.0,0.0,0.0,0.019,0.019,0.038,0.038,0.057,0.038,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.075,0.0,0.019,0.0,0.019
Vineyard,0.0,0.02,0.08,0.0,0.02,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.38,0.02,0.04,0.04,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.06,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Gigantic,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.24,0.02,0.04,0.02,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.04,0.04,0.02,0.02,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.02,0.0,0.06,0.02,0.04
Mascot,0.019,0.019,0.0,0.019,0.0,0.038,0.0,0.0,0.019,0.094,0.0,0.038,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.038,0.038,0.226,0.019,0.0,0.0,0.0,0.019,0.038,0.019,0.0,0.019,0.019,0.057,0.0,0.0,0.019,0.0,0.019,0.019,0.019,0.019,0.0,0.0,0.0,0.0,0.038,0.019,0.057,0.038
Magnificent,0.024,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.024,0.048,0.048,0.024,0.0,0.0,0.0,0.024,0.0,0.048,0.0,0.0,0.0,0.095,0.024,0.19,0.024,0.024,0.0,0.0,0.024,0.048,0.0,0.048,0.0,0.0,0.024,0.0,0.024,0.048,0.024,0.0,0.0,0.048,0.0,0.0,0.024,0.0,0.024,0.0,0.0,0.024
Lifeline,0.0,0.0,0.0,0.024,0.0,0.0,0.024,0.049,0.0,0.0,0.0,0.024,0.049,0.024,0.0,0.024,0.024,0.049,0.024,0.0,0.0,0.0,0.024,0.0,0.415,0.0,0.0,0.0,0.049,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.049,0.0,0.024,0.0,0.0,0.0,0.049,0.024,0.0,0.0
Decorum,0.018,0.0,0.018,0.0,0.035,0.018,0.035,0.035,0.0,0.0,0.018,0.035,0.018,0.0,0.018,0.0,0.0,0.018,0.053,0.035,0.0,0.035,0.0,0.0,0.0,0.193,0.0,0.018,0.018,0.0,0.035,0.018,0.053,0.0,0.053,0.0,0.0,0.018,0.0,0.0,0.0,0.018,0.018,0.018,0.053,0.053,0.053,0.0,0.0,0.0
Perpetrator,0.0,0.0,0.049,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.098,0.024,0.024,0.049,0.024,0.0,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.024,0.024,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.024,0.024,0.0,0.024,0.024,0.0,0.049,0.073,0.0,0.024,0.024,0.0,0.024,0.024,0.024
Bookworm,0.019,0.019,0.038,0.0,0.019,0.019,0.038,0.019,0.019,0.0,0.0,0.019,0.038,0.0,0.0,0.019,0.019,0.019,0.038,0.0,0.019,0.0,0.0,0.0,0.0,0.038,0.019,0.283,0.0,0.0,0.019,0.019,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.057,0.038,0.0,0.0,0.019,0.0
Engender,0.0,0.0,0.02,0.0,0.02,0.0,0.039,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.039,0.0,0.0,0.039,0.0,0.0,0.039,0.059,0.059,0.0,0.0,0.02,0.039,0.0,0.255,0.039,0.02,0.02,0.0,0.0,0.0,0.039,0.02,0.02,0.0,0.02,0.0,0.0,0.02,0.039,0.02,0.02,0.02,0.02,0.0,0.0
Future,0.016,0.016,0.049,0.0,0.0,0.0,0.0,0.033,0.016,0.0,0.016,0.033,0.0,0.033,0.033,0.016,0.0,0.016,0.049,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.066,0.016,0.033,0.213,0.016,0.0,0.016,0.016,0.016,0.016,0.033,0.033,0.016,0.0,0.016,0.0,0.033,0.016,0.016,0.016,0.0,0.0,0.016,0.049
Grandnieces,0.023,0.0,0.023,0.045,0.0,0.068,0.0,0.0,0.0,0.023,0.023,0.0,0.023,0.0,0.023,0.0,0.0,0.0,0.023,0.0,0.0,0.023,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,0.091,0.0,0.0,0.023,0.045,0.0,0.0,0.023,0.023,0.114,0.023,0.0,0.023,0.0,0.023,0.0
Fish,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.022,0.022,0.0,0.044,0.0,0.022,0.0,0.022,0.0,0.0,0.0,0.022,0.0,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.044,0.044,0.0,0.0,0.022,0.022,0.044,0.044,0.022,0.022
Teamwork,0.0,0.018,0.036,0.0,0.018,0.0,0.055,0.018,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.0,0.0,0.018,0.0,0.018,0.018,0.0,0.0,0.036,0.0,0.036,0.0,0.0,0.0,0.018,0.4,0.0,0.018,0.0,0.018,0.0,0.0,0.0,0.055,0.0,0.018,0.0,0.0,0.127,0.0,0.0,0.0,0.036
Way,0.0,0.026,0.079,0.0,0.026,0.0,0.0,0.026,0.053,0.026,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.026,0.026,0.0,0.0,0.079,0.316,0.0,0.026,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.026,0.079,0.0,0.0
