Class,Coloring,Butterscotch,Owl,Erratic,Agonistic,Nephogram,Foreclose,Publish,Jackpot,Man,Zestful,Citizen,Tree,Tabletop,Dark,Marshmallow,Carsick,Termination,Recount,Damage,Vineyard,Gigantic,Mascot,Magnificent,Lifeline,Decorum,Perpetrator,Bookworm,Engender,Future,Grandnieces,Fish,Teamwork,Way,Dangerous,Sublime,Eulogy,Moonwalk,Abjure,Kitchenette,Ring,Envelope,Inflatable,Mine,Celebrate,Inimical,Reporter,Blackboard,Parenthesis,Etymology
Coloring,0.418,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.018,0.018,0.036,0.0,0.0,0.018,0.0,0.055,0.018,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.036,0.0,0.0,0.0,0.0,0.055,0.018,0.0,0.018,0.0,0.018,0.0,0.036,0.018,0.0,0.018,0.0,0.0,0.018,0.0,0.018,0.018,0.055,0.0
Butterscotch,0.0,0.231,0.019,0.019,0.038,0.096,0.019,0.038,0.0,0.0,0.0,0.0,0.058,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.019,0.0,0.0,0.019,0.019,0.0,0.0,0.0,0.058,0.0,0.038,0.038,0.0,0.038,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.019,0.038,0.038,0.0
Owl,0.0,0.083,0.271,0.0,0.042,0.042,0.021,0.042,0.0,0.0,0.021,0.0,0.0,0.021,0.021,0.0,0.042,0.042,0.0,0.0,0.021,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.042,0.0,0.021,0.0,0.0,0.042,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.062,0.021,0.0
Erratic,0.0,0.065,0.0,0.37,0.0,0.0,0.0,0.0,0.087,0.022,0.022,0.022,0.0,0.0,0.022,0.0,0.0,0.022,0.0,0.022,0.043,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.043,0.022,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.0,0.087,0.022,0.0,0.0,0.0,0.0,0.0,0.065,0.0
Agonistic,0.0,0.022,0.067,0.0,0.244,0.022,0.0,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.022,0.0,0.022,0.156,0.0,0.022,0.022,0.067,0.0,0.0,0.044,0.0,0.022,0.0,0.022,0.022,0.0,0.044,0.0,0.0,0.0,0.022,0.0,0.044,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0
Nephogram,0.018,0.018,0.0,0.018,0.036,0.464,0.018,0.036,0.0,0.0,0.0,0.036,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.036,0.0,0.071,0.0,0.0,0.018,0.0,0.054,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.018,0.0,0.018,0.018
Foreclose,0.034,0.0,0.017,0.051,0.034,0.0,0.22,0.0,0.0,0.0,0.068,0.0,0.0,0.085,0.017,0.0,0.0,0.017,0.0,0.017,0.017,0.0,0.0,0.017,0.017,0.102,0.017,0.0,0.034,0.0,0.0,0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.017,0.0,0.034,0.051,0.034,0.0,0.034,0.017,0.0
Publish,0.0,0.0,0.068,0.023,0.0,0.0,0.0,0.205,0.091,0.023,0.0,0.023,0.0,0.0,0.023,0.068,0.023,0.045,0.023,0.0,0.045,0.023,0.0,0.0,0.023,0.023,0.0,0.0,0.0,0.045,0.023,0.0,0.023,0.023,0.0,0.0,0.068,0.023,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0
Jackpot,0.019,0.0,0.019,0.0,0.0,0.019,0.0,0.037,0.333,0.019,0.019,0.0,0.019,0.0,0.056,0.0,0.0,0.019,0.019,0.0,0.019,0.0,0.0,0.056,0.037,0.0,0.0,0.0,0.019,0.019,0.037,0.0,0.019,0.0,0.0,0.019,0.037,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.019,0.0,0.019,0.056
Man,0.0,0.0,0.02,0.059,0.0,0.02,0.02,0.039,0.078,0.235,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.039,0.0,0.02,0.02,0.039,0.0,0.059,0.0,0.039,0.02,0.0,0.0,0.039,0.0,0.059,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.078,0.02,0.0
Zestful,0.073,0.018,0.0,0.0,0.0,0.0,0.055,0.018,0.073,0.0,0.255,0.0,0.0,0.0,0.036,0.055,0.0,0.036,0.036,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.018,0.018,0.0,0.0,0.0,0.018,0.0,0.036,0.018,0.018,0.0,0.0,0.036,0.018,0.0,0.018,0.0,0.018,0.018,0.073,0.0,0.0,0.0,0.018
Citizen,0.03,0.0,0.0,0.03,0.03,0.061,0.0,0.0,0.0,0.03,0.0,0.182,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.061,0.091,0.091,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.03,0.061,0.03,0.0
Tree,0.0,0.05,0.025,0.0,0.0,0.025,0.0,0.025,0.0,0.025,0.075,0.0,0.3,0.025,0.075,0.025,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.0,0.05,0.05,0.0,0.0,0.075,0.0,0.0,0.0,0.0
Tabletop,0.0,0.0,0.019,0.0,0.0,0.0,0.037,0.037,0.13,0.0,0.0,0.0,0.0,0.259,0.037,0.0,0.0,0.019,0.019,0.0,0.0,0.0,0.0,0.037,0.019,0.037,0.019,0.0,0.019,0.019,0.037,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.037,0.0,0.0,0.019,0.0,0.019,0.019,0.019,0.037,0.093,0.0,0.0
