Class,0,1,2,3,4,5,6,7,8,9
0,0.82,0.0,0.027,0.075,0.005,0.002,0.051,0.0,0.02,0.0
1,0.004,0.932,0.002,0.052,0.005,0.001,0.001,0.0,0.003,0.0
2,0.012,0.0,0.76,0.018,0.145,0.001,0.053,0.0,0.011,0.0
3,0.02,0.003,0.011,0.918,0.022,0.0,0.022,0.0,0.004,0.0
4,0.001,0.0,0.077,0.058,0.809,0.0,0.05,0.0,0.005,0.0
5,0.0,0.0,0.0,0.003,0.0,0.915,0.0,0.056,0.001,0.025
6,0.185,0.003,0.114,0.064,0.133,0.001,0.47,0.0,0.03,0.0
7,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.95,0.0,0.033
8,0.001,0.001,0.006,0.009,0.002,0.001,0.006,0.006,0.968,0.0
9,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.052,0.001,0.944
