Class,0,1,2,3,4,5,6,7,8,9
0,0.818,0.0,0.025,0.071,0.007,0.003,0.055,0.0,0.021,0.0
1,0.004,0.929,0.001,0.053,0.007,0.001,0.002,0.0,0.003,0.0
2,0.015,0.0,0.734,0.016,0.164,0.001,0.059,0.0,0.011,0.0
3,0.022,0.002,0.013,0.91,0.025,0.0,0.024,0.0,0.004,0.0
4,0.001,0.0,0.069,0.052,0.838,0.0,0.034,0.0,0.006,0.0
5,0.001,0.0,0.0,0.001,0.0,0.922,0.0,0.054,0.001,0.021
6,0.193,0.0,0.102,0.052,0.139,0.002,0.483,0.0,0.029,0.0
7,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.95,0.0,0.034
8,0.001,0.001,0.003,0.011,0.003,0.003,0.008,0.004,0.966,0.0
9,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.048,0.001,0.948
