Class,0,1,2,3,4,5,6,7,8,9
0,0.815,0.0,0.022,0.075,0.008,0.003,0.058,0.0,0.019,0.0
1,0.002,0.94,0.001,0.047,0.004,0.001,0.003,0.0,0.002,0.0
2,0.012,0.001,0.704,0.017,0.18,0.0,0.072,0.0,0.014,0.0
3,0.023,0.005,0.007,0.906,0.025,0.0,0.031,0.0,0.003,0.0
4,0.001,0.0,0.06,0.057,0.815,0.0,0.06,0.0,0.007,0.0
5,0.0,0.0,0.0,0.001,0.0,0.923,0.0,0.052,0.002,0.022
6,0.188,0.001,0.09,0.06,0.131,0.0,0.499,0.0,0.031,0.0
7,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.949,0.0,0.029
8,0.003,0.001,0.005,0.011,0.002,0.002,0.006,0.005,0.965,0.0
9,0.0,0.0,0.0,0.001,0.0,0.007,0.0,0.055,0.001,0.936
