Class,0,1,2,3,4,5,6,7,8,9
0,0.818,0.0,0.029,0.072,0.005,0.001,0.055,0.0,0.02,0.0
1,0.003,0.93,0.001,0.055,0.005,0.001,0.002,0.0,0.003,0.0
2,0.013,0.0,0.751,0.017,0.15,0.001,0.054,0.0,0.014,0.0
3,0.022,0.004,0.013,0.909,0.021,0.0,0.027,0.0,0.004,0.0
4,0.001,0.0,0.079,0.049,0.816,0.0,0.048,0.0,0.007,0.0
5,0.001,0.0,0.0,0.003,0.0,0.921,0.0,0.049,0.002,0.024
6,0.186,0.002,0.111,0.056,0.139,0.0,0.475,0.0,0.031,0.0
7,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.947,0.0,0.037
8,0.002,0.001,0.004,0.009,0.001,0.001,0.005,0.005,0.972,0.0
9,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.05,0.001,0.946
