Class,0,1,2,3,4,5,6,7,8,9
0,0.824,0.0,0.02,0.07,0.007,0.005,0.056,0.0,0.018,0.0
1,0.003,0.935,0.003,0.048,0.006,0.001,0.001,0.0,0.003,0.0
2,0.015,0.0,0.743,0.016,0.162,0.001,0.052,0.0,0.011,0.0
3,0.025,0.006,0.011,0.907,0.018,0.0,0.029,0.0,0.004,0.0
4,0.001,0.001,0.078,0.059,0.8,0.001,0.051,0.0,0.009,0.0
5,0.0,0.0,0.0,0.002,0.0,0.916,0.0,0.057,0.002,0.023
6,0.189,0.001,0.101,0.058,0.135,0.002,0.483,0.0,0.031,0.0
7,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.951,0.0,0.029
8,0.002,0.001,0.006,0.009,0.003,0.001,0.007,0.006,0.965,0.0
9,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.054,0.001,0.94
