Class,0,1,2,3,4,5,6,7,8,9
0,0.829,0.0,0.023,0.07,0.005,0.002,0.051,0.0,0.02,0.0
1,0.003,0.935,0.002,0.05,0.006,0.001,0.0,0.0,0.003,0.0
2,0.011,0.0,0.754,0.024,0.142,0.001,0.058,0.0,0.01,0.0
3,0.022,0.003,0.01,0.917,0.022,0.0,0.023,0.0,0.003,0.0
4,0.001,0.0,0.088,0.062,0.789,0.0,0.057,0.0,0.003,0.0
5,0.0,0.0,0.0,0.002,0.0,0.923,0.0,0.048,0.001,0.026
6,0.2,0.0,0.116,0.063,0.125,0.0,0.467,0.0,0.029,0.0
7,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.94,0.0,0.035
8,0.001,0.001,0.007,0.009,0.004,0.002,0.006,0.004,0.965,0.001
9,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.052,0.001,0.941
