Class,0,1,2,3,4,5,6,7,8
0,0.815,0.0,0.028,0.081,0.006,0.003,0.047,0.0,0.02
1,0.002,0.927,0.003,0.058,0.005,0.001,0.001,0.0,0.003
2,0.01,0.001,0.759,0.02,0.137,0.0,0.06,0.0,0.013
3,0.021,0.003,0.016,0.916,0.019,0.0,0.02,0.0,0.005
4,0.001,0.001,0.101,0.061,0.777,0.0,0.054,0.0,0.005
5,0.0,0.0,0.0,0.003,0.0,0.92,0.0,0.054,0.001
6,0.18,0.003,0.124,0.066,0.129,0.0,0.466,0.0,0.032
7,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.96,0.0
8,0.0,0.001,0.005,0.012,0.001,0.003,0.009,0.004,0.963
9,0.001,0.0,0.0,0.0,0.0,0.003,0.0,0.063,0.001
